Ranking,Simbolo,Nombre,Cantidad Máxima de tokens,Capitalización Total de Mercado,Precio,Volumen 24h
1,"['19,587,131', 'BTC']",Bitcoin,"['19,587,131', 'BTC']","$882,243,996,165","$45,014.76","$22,893,796,209"
2,"['120,183,925', 'ETH']",Ethereum,"['120,183,925', 'ETH']","$287,415,633,754","$2,390.62","$7,937,871,813"
3,"['94,603,058,345', 'USDT']",Tether USDt,"['94,603,058,345', 'USDT']","$91,741,187,467",$1.00,"$39,664,788,249"
4,"['151,692,032', 'BNB']",BNB,"['151,692,032', 'BNB']","$48,461,876,717",$319.45,"$956,382,098"
5,"['566,221,686', 'SOL']",Solana,"['566,221,686', 'SOL']","$48,303,081,859",$112.32,"$2,403,676,855"
6,"['99,988,100,379', 'XRP']",XRP,"['99,988,100,379', 'XRP']","$34,297,556,007",$0.6337,"$777,884,114"
7,"['24,571,436,800', 'USDC']",USDC,"['24,571,436,800', 'USDC']","$24,569,750,240",$1.00,"$4,127,723,095"
8,"['36,498,916,809', 'ADA']",Cardano,"['36,498,916,809', 'ADA']","$22,375,846,452",$0.6328,"$440,885,463"
9,"['434,091,966', 'AVAX']",Avalanche,"['434,091,966', 'AVAX']","$15,650,225,911",$42.75,"$724,807,922"
10,"['142,480,316,384', 'DOGE']",Dogecoin,"['142,480,316,384', 'DOGE']","$13,244,624,215",$0.09296,"$327,788,060"
11,"['1,395,202,133', 'DOT']",Polkadot,"['1,395,202,133', 'DOT']","$10,987,708,795",$8.70,"$264,106,989"
12,"['10,000,000,000', 'MATIC']",Polygon,"['10,000,000,000', 'MATIC']","$9,684,588,913",$1.01,"$458,962,526"
13,"['88,315,910,411', 'TRX']",TRON,"['88,315,910,411', 'TRX']","$9,555,653,023",$0.1082,"$208,773,241"
14,"['1,000,000,000', 'LINK']",Chainlink,"['1,000,000,000', 'LINK']","$8,944,749,931",$15.74,"$352,720,635"
15,"['5,100,458,382', 'TON']",Toncoin,"['5,100,458,382', 'TON']","$8,180,237,861",$2.37,"$37,227,388"
16,"['589,544,141,941,438', 'SHIB']",Shiba Inu,"['589,544,141,941,438', 'SHIB']","$6,354,705,235",$0.00001078,"$108,034,091"
17,"['512,519,956', 'ICP']",Internet Computer,"['512,519,956', 'ICP']","$5,941,840,198",$13.08,"$314,659,589"
18,"['84,000,000', 'LTC']",Litecoin,"['84,000,000', 'LTC']","$5,582,427,830",$75.38,"$279,335,143"
19,"['5,347,888,596', 'DAI']",Dai,"['5,347,888,596', 'DAI']","$5,350,549,494",$1.00,"$239,495,252"
20,"['19,602,338', 'BCH']",Bitcoin Cash,"['19,602,338', 'BCH']","$5,265,066,306",$268.60,"$296,872,410"
21,"['1,000,000,000', 'UNI']",Uniswap,"['1,000,000,000', 'UNI']","$4,578,656,419",$7.65,"$94,750,628"
22,"['381,199,078', 'ATOM']",Cosmos,"['381,199,078', 'ATOM']","$4,298,000,284",$11.27,"$133,183,681"
23,"['1,000,000,000', 'NEAR']",NEAR Protocol,"['1,000,000,000', 'NEAR']","$3,940,694,740",$3.92,"$203,217,444"
24,"['1,960,990,370', 'FIL']",Filecoin,"['1,960,990,370', 'FIL']","$3,707,793,681",$7.56,"$975,377,333"
25,"['50,001,787,060', 'XLM']",Stellar,"['50,001,787,060', 'XLM']","$3,758,292,110",$0.1329,"$63,051,583"
26,"['985,239,504', 'LEO']",UNUS SED LEO,"['985,239,504', 'LEO']","$3,693,177,493",$3.98,"$1,349,590"
27,"['4,294,967,296', 'OP']",Optimism,"['4,294,967,296', 'OP']","$3,553,140,021",$3.90,"$471,201,037"
28,"['300,000,000', 'OKB']",OKB,"['300,000,000', 'OKB']","$3,378,733,946",$56.29,"$5,092,437"
29,"['100,000,000', 'INJ']",Injective,"['100,000,000', 'INJ']","$3,317,975,304",$39.61,"$184,940,173"
30,"['210,700,000', 'ETC']",Ethereum Classic,"['210,700,000', 'ETC']","$3,300,405,422",$22.79,"$205,148,635"
31,"['18,378,833', 'XMR']",Monero,"['18,378,833', 'XMR']","$3,103,738,098",$168.90,"$74,804,866"
32,"['1,073,499,280', 'APT']",Aptos,"['1,073,499,280', 'APT']","$3,100,003,693",$10.08,"$130,315,730"
33,"['50,000,000,000', 'HBAR']",Hedera,"['50,000,000,000', 'HBAR']","$3,074,593,475",$0.09141,"$76,847,885"
34,"['2,000,000,000', 'IMX']",Immutable,"['2,000,000,000', 'IMX']","$3,069,942,582",$2.32,"$78,055,401"
35,"['85,985,041,177', 'VET']",VeChain,"['85,985,041,177', 'VET']","$2,667,377,215",$0.03668,"$57,349,414"
36,"['22,152,432,865', 'KAS']",Kaspa,"['22,152,432,865', 'KAS']","$2,614,428,161",$0.118,"$27,185,135"
37,"['1,000,000,000', 'LDO']",Lido DAO,"['1,000,000,000', 'LDO']","$2,601,673,273",$2.92,"$84,221,821"
38,"['30,263,013,692', 'CRO']",Cronos,"['30,263,013,692', 'CRO']","$2,560,174,246",$0.1014,"$10,278,108"
39,"['1,818,000,000', 'STX']",Stacks,"['1,818,000,000', 'STX']","$2,371,483,504",$1.65,"$145,265,788"
40,"['2,310,149,998', 'TUSD']",TrueUSD,"['2,310,149,998', 'TUSD']","$2,306,135,208",$0.9984,"$217,498,129"
41,"['10,000,000,000', 'ARB']",Arbitrum,"['10,000,000,000', 'ARB']","$2,230,995,656",$1.75,"$810,992,148"
42,"['1,013,589,041', 'TIA']",Celestia,"['1,013,589,041', 'TIA']","$2,154,311,317",$13.91,"$227,663,970"
43,"['19,595,375', 'BSV']",Bitcoin SV,"['19,595,375', 'BSV']","$2,041,045,279",$104.08,"$461,906,063"
44,"['6,219,316,795', 'MNT']",Mantle,"['6,219,316,795', 'MNT']","$2,043,318,871",$0.6512,"$78,916,111"
45,"['10,792,570,019', 'GRT']",The Graph,"['10,792,570,019', 'GRT']","$2,032,216,623",$0.2171,"$217,931,441"
46,"['8,001,853,697', 'ALGO']",Algorand,"['8,001,853,697', 'ALGO']","$1,924,829,541",$0.2405,"$66,379,488"
47,"['26,404,561', 'EGLD']",MultiversX,"['26,404,561', 'EGLD']","$1,898,464,996",$71.91,"$52,807,985"
48,"['482,553,535', 'RUNE']",THORChain,"['482,553,535', 'RUNE']","$1,875,285,591",$5.55,"$211,653,654"
49,"['1,801,091,367', 'FDUSD']",First Digital USD,"['1,801,091,367', 'FDUSD']","$1,801,571,691",$1.00,"$2,262,606,098"
50,"['530,962,615', 'RNDR']",Render,"['530,962,615', 'RNDR']","$1,784,663,091",$4.80,"$86,079,439"
51,"['16,000,000', 'AAVE']",Aave,"['16,000,000', 'AAVE']","$1,744,603,927",$118.62,"$149,060,502"
52,"['2,100,000,000,000', '1000SATS']",SATS,"['2,100,000,000,000', '1000SATS']","$1,722,310,778",$0.0008201,"$72,542,028"
53,"['14,881,364', 'QNT']",Quant,"['14,881,364', 'QNT']","$1,702,366,556",$141.00,"$20,399,902"
54,"['21,000,000', 'ORDI']",ORDI,"['21,000,000', 'ORDI']","$1,698,481,325",$80.86,"$441,444,587"
